,census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black,b_arr_pct_total,w_arr_pct_total,tot_arr_pct_total,tot_arr_pct_co_pop,w_arr_pct_co_pop,b_arr_pct_co_pop,w_arr_pct_w_pop,b_arr_pct_b_pop,rTot,rB,rW,eTot,eB,eW,sir_total,sir_black,sir_white,total_effects,white_effects,black_effects
1,10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,58.2051746,41.8008564,100,52.58317212,21.97837049,30.60480162,84.29631432,45.60275979,0.03416607,0.016395397,0.017582894,107.8256173,34.79266036,14.55313924,15.37667987,27.73573478,47.61859201,1.5110594,1.90510952,1.29587781
2,10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,52.91493712,46.71953411,100,58.71012331,27.42715798,31.06471209,121.0078639,43.3480534,0.03416607,0.016395397,0.017582894,94.02252524,32.39893237,11.05414324,17.16609925,26.35889325,68.2097186,2.83915978,2.61632139,3.08825139
3,10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,51.88918434,47.745965,100,56.20242605,26.83257447,29.16130826,137.5868829,37.0730414,0.03416607,0.016395397,0.017582894,98.39578215,37.20278374,9.964003788,16.43363125,22.55207583,77.47889467,0.7838679,0.53579309,1.27002753
4,10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,51.72271508,48.21539096,100,59.05527801,28.47162991,30.54303237,110.2027983,41.89181661,0.03416607,0.016395397,0.017582894,84.21686328,29.52973787,11.28272087,17.26495079,25.46585423,62.13040347,1.66812984,1.71203805,2.56453997
5,10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,53.81062356,46.11239415,100,52.84571222,24.36598707,28.43451924,95.21285992,38.65773462,0.03416607,0.016395397,0.017582894,75.67534588,26.77531115,10.05191826,15.44756732,23.49179049,53.62160595,8.52681147,6.35180759,8.00735654
6,10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,49.52736103,49.78752927,100,53.3524594,26.56054787,26.42172967,67.9209561,44.67569048,0.03416607,0.016395397,0.017582894,73.93287634,21.05331755,14.95754581,15.59522715,27.12161628,38.37527942,0.33295836,0.32433684,0.23885194
7,10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,52.93133602,46.77210858,100,58.57200125,27.39298918,31.00084629,69.7199864,55.27757922,0.03416607,0.016395397,0.017582894,76.80282618,20.741805,15.60811291,17.12176577,33.55542104,39.40258529,5.18204525,4.11537634,26.69518006
8,10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,54.07785367,45.60118509,100,53.9736129,24.61019057,29.18573142,61.1411544,53.62827524,0.03416607,0.016395397,0.017582894,77.0078226,20.1843615,16.03010237,15.7776179,32.5499521,34.55997891,1.63832,2.3942048,2.41617621
9,10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,47.5057059,51.85305945,100,40.58047726,21.04009528,19.2757267,50.57788145,36.96810761,0.03416607,0.016395397,0.017582894,77.55447971,19.47935942,16.68066947,11.86262874,22.4340026,28.59597457,5.88784409,6.07876741,4.00475963
10,10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,54.47554599,45.24761612,100,9.878119206,4.467949302,5.379775691,10.60529543,9.330030046,0.03416607,0.016395397,0.017582894,112.5063689,31.20206838,24.46989171,2.888725352,5.672700855,6.007382531,7.9376883,7.99358713,19.36245461
